Country Name,Male,Female
Austria,58.93,41.07
Belgium,58.74,41.26
Bulgaria,40.96,59.04
Croatia,59.86,40.14
Cyprus,58.09,41.91
Czechia,62.13,37.87
Denmark,57.38,42.62
Estonia,57.81,42.19
Finland,58.04,41.96
France,60.95,39.05
Germany,62.12,37.88
Greece,58.64,41.36
Hungary,52.53,47.47
Ireland,57.70,42.30
Italy,62.14,37.86
Latvia,59.24,40.76
Lithuania,59.14,40.86
Luxembourg,57.31,42.69
Malta,56.64,43.36
Netherlands,63.74,36.26
Poland,64.96,35.04
Portugal,61.98,38.02
Romania,67.80,32.20
Slovakia,59.96,40.04
Slovenia,58.56,41.44
Spain,61.68,38.32
Sweden,58.41,41.59
